handle,display_name,follower_count,bio_focus,engagement_level,dms_open,notable_tweet,content_type,rank_score,notes
@dani_avila7,Daniel San,unknown,Developer using Claude Code,medium,unknown,New accept with changes feature testing,community,72,Feature testing and feedback.
@banteg,Artem K,unknown,Yearn Finance developer,medium,unknown,Sympathetic take on Anthropic policies,defi_developer,71,DeFi perspective on Claude Code policies.
@claude_code,Claude Code Community,unknown,Community account for Claude Code projects,medium,no,Tips like Plan with Opus execute with Sonnet,community,70,Community tips and project sharing. 78+ posts.
@ykdojo,YK (CS Dojo),1900000+,Programming educator,very_high,unknown,40+ Claude Code tips repo on GitHub,educator,69,Major programming educator. Comprehensive tips repository.
@theonevittor,Vittor Santos,unknown,Developer sharing Claude Code content,medium,unknown,Claude Code tutorials and tips,community,68,Active community member.
@wfrng,Warren,unknown,AI coding enthusiast,medium,unknown,Claude Code workflow sharing,community,67,Practical usage tips.
@transitive_bs,Travis Fisher,unknown,Developer and AI tools enthusiast,medium,unknown,MCP and Claude Code integrations,developer,66,Technical integrations focus.
@theaievangelist,AI Evangelist,unknown,AI tools promotion and reviews,medium,unknown,Claude Code feature highlights,promoter,65,AI tools coverage.
@danshipper,Dan Shipper,unknown,Every newsletter - Chain of Thought podcast,high,unknown,Interview with Cat Wu and Boris Cherny founding engineers,media,64,Quality interviews with Anthropic team.
@gergelyorosz,Gergely Orosz,200000+,Pragmatic Engineer newsletter,high,unknown,How Claude Code is Built technical analysis,newsletter,63,Deep technical analysis. Engineering management focus.
@zvimowshowitz,Zvi Mowshowitz,unknown,AI analysis newsletter author,high,unknown,Weekly AI analysis including Claude Code coverage,analyst,62,Thoughtful weekly AI analysis.
@charlieholtz,Charlie Holtz,unknown,AI infrastructure tools developer,medium,unknown,Infrastructure and tooling for AI coding,developer,61,Technical infrastructure focus.
@shl,Sahil Lavingia,400000+,Gumroad founder,high,unknown,Real-world Claude Code application at scale,founder,60,Founder perspective on AI tools at scale.
@catalinmpit,Catalin Pit,100000+,Developer content creator,high,unknown,Vibe coding is easy - vibe debugging is hard meme,educator,59,Developer education and memes.
@jpcaparas,JP Caparas,unknown,Medium author - Who to Follow guide,medium,unknown,Who to Follow If Youre Serious About Claude Code article,media,58,Curated list of Claude Code voices to follow.
@brycicle77,Brycicle,unknown,Developer,medium,unknown,Vibe coding project concerns - 30+ Python files,community,57,Practical concerns about AI-generated code maintenance.
@coinaborji,Brian Armstrong,4000000+,Coinbase CEO,high,no,Nearly half of Coinbase code is AI-generated - backlash,ceo,56,High profile but controversial AI coding adoption.
@minimaxir,Max Woolf,100000+,AI researcher and developer,medium,unknown,AI coding tool analysis,researcher,55,Technical AI analysis.
@goodside,Riley Goodside,100000+,Prompt engineering expert,high,unknown,AI prompting techniques applicable to Claude Code,prompt_engineer,54,Prompting expertise relevant to Claude Code usage.
@jxnlco,Jason Liu,unknown,AI engineering advocate,medium,unknown,AI coding agent discussions,developer,53,AI engineering community voice.
@mattshumer,Matt Shumer,unknown,AI entrepreneur,medium,unknown,AI tools and agents coverage,entrepreneur,52,AI startup perspective.
@GergelyOrosz,Gergely Orosz (dupe check),200000+,Pragmatic Engineer newsletter,high,unknown,Engineering management and AI tools,newsletter,51,Duplicate - see gergelyorosz above.
